TILGANG1,TILGANG2,ANVENDELSE,TID,Pt
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1969,0.19653621552109557
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1970,0.22747607306273354
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1971,0.24815744321077166
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1972,0.26812865246757733
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1973,0.33345332002474914
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1974,0.36731746594617953
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1975,0.3933165378976648
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1976,0.43687729419378035
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1977,0.4935251107571778
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1978,0.53858223448601
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1979,0.5502928252615074
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1980,0.6143707300269586
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1981,0.6776965031529139
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1982,0.7800698060238473
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1983,0.8250202093427608
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1984,0.829078618086845
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1985,0.852603774959365
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1986,0.8735735344368493
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1987,0.8703014285755409
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1988,0.969509681349225
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1989,1.0202288397665
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1990,0.9665377748934295
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1991,0.959054678572231
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1992,0.9439072089485327
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1993,0.8991218152788166
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1994,0.8844779076096143
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1995,0.8560943800942985
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1996,0.8657848178380662
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1997,0.8659693444648556
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1998,0.8667996821606674
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),1999,0.8400760675699225
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2000,0.8618534149614288
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2001,0.8944009812309258
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2002,0.890825788166597
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2003,0.8649381123068027
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2004,0.820114422764583
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2005,0.7805025287631884
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2006,0.7845168133410776
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),100030 Mejerier- (Anvendelse),2007,0.860359592185849
