BEHOLD,BRANCHE,TID,INDHOLD
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1998,84571.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1998,12769.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1998,7452.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,1999,243755.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",1999,84521.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,1999,12084.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1999,6764.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2000,242098.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2000,86866.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2000,13504.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2000,9085.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2001,242131.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2001,88848.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2001,15186.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2001,8940.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2002,240161.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2002,90559.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2002,12935.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2002,8872.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2003,238063.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2003,93051.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2003,12715.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2003,9786.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2004,236088.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2004,95676.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2004,12932.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2004,10159.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2005,234687.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2005,95904.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2005,13633.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2005,7977.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2006,235845.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2006,95868.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2006,16218.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2006,7682.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2007,239330.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2007,96614.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2007,18825.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2007,8309.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2008,242244.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2008,99622.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2008,17701.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2008,10157.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2009,239024.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2009,102062.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2009,10689.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2009,9554.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2010,234064.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2010,99903.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2010,8644.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2010,5055.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2011,229103.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2011,98584.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2011,8309.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2011,5742.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2012,225090.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2012,99448.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2012,8939.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2012,7822.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2013,222016.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2013,99126.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2013,9511.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2013,6584.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,2014,218477.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2014,98817.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2014,8883.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",2014,6501.0
