TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1996,5.316
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1996,-1806.787
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1996,-1956.179
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,1996,12.942
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,1996,12.339
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,1996,87.391
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,1996,102.702
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1971,859.106
Aflønning af ansatte,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1971,
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Løbende priser,1971,900.479
Aflønning af ansatte,100010 Slagterier- (Anvendelse),Foregående års priser,1971,
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Løbende priser,1971,423.816
Aflønning af ansatte,100030 Mejerier- (Anvendelse),Foregående års priser,1971,
Moms,010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1971,0.178
Moms,010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1971,0.162
Moms,100010 Slagterier- (Anvendelse),Løbende priser,1971,0.0
Moms,100010 Slagterier- (Anvendelse),Foregående års priser,1971,0.0
Moms,100030 Mejerier- (Anvendelse),Løbende priser,1971,0.0
Moms,100030 Mejerier- (Anvendelse),Foregående års priser,1971,0.0
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1986,-433.568
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1986,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1986,-49.637
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1986,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1986,-29.784
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,1986,
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2003,-467.391
"Produktskatter, netto ekskl. told og moms",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2003,-616.73
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Løbende priser,2003,80.408
"Produktskatter, netto ekskl. told og moms",100010 Slagterier- (Anvendelse),Foregående års priser,2003,75.183
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Løbende priser,2003,170.598
"Produktskatter, netto ekskl. told og moms",100030 Mejerier- (Anvendelse),Foregående års priser,2003,143.668
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,2003,-1656.152
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2003,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,2003,15.905
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,2003,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,2003,-97.289
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Foregående års priser,2003,
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1996,-1257.992
"Andre produktionsskatter, netto",010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1996,
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Løbende priser,1996,-111.585
"Andre produktionsskatter, netto",100010 Slagterier- (Anvendelse),Foregående års priser,1996,
"Andre produktionsskatter, netto",100030 Mejerier- (Anvendelse),Løbende priser,1996,-196.871
