SOCIO,BRANCHE,TID,INDHOLD
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1981,56891
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1982,57332
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1983,57116
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1984,57355
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1985,55825
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1986,57542
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1987,55464
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1988,53836
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1989,52682
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1990,51850
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1991,53351
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1992,52296
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1993,51741
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1994,48229
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1995,51991
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1996,50952
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1997,49145
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1998,48763
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",1999,47742
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2000,48413
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2001,48093
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2002,48389
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2003,44498
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2004,43760
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2005,40930
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2006,41084
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2007,38647
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2008,38622
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2009,33665
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2010,32181
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2011,30171
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2012,28306
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2013,28854
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2014,27786
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2015,28475
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2016,28741
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2017,29981
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2018,29900
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2019,29035
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2020,29401
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2021,29055
Samlede præsterede timer (1000 timer),"100040x100050 Anden fødevareindustri (100040, 100050)",2022,28888
