BEHOLD,BRANCHE,PRISENHED,TID,INDHOLD
"AN.11 Faste aktiver, nettobeholdning ultimo året",95000 Reparation af husholdningsudstyr,"2020-priser, kædede værdier",1966,549.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",95000 Reparation af husholdningsudstyr,Løbende priser,1966,139.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","96000 Frisører, vaskerier og andre serviceydelser","2020-priser, kædede værdier",1966,804.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","96000 Frisører, vaskerier og andre serviceydelser",Løbende priser,1966,375.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",97000 Private husholdninger med ansat medhjælp,"2020-priser, kædede værdier",1966,0.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",97000 Private husholdninger med ansat medhjælp,Løbende priser,1966,0.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",Heraf: Offentlig forvaltning og service,"2020-priser, kædede værdier",1966,573530.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",Heraf: Offentlig forvaltning og service,Løbende priser,1966,42185.0
P.51g Faste bruttoinvesteringer,I alt,"2020-priser, kædede værdier",1966,124979.0
P.51g Faste bruttoinvesteringer,I alt,Løbende priser,1966,20242.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,02000 Skovbrug,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,02000 Skovbrug,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,03000 Fiskeri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,03000 Fiskeri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,06090 Råstofindvinding,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,06090 Råstofindvinding,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1966,
P.51g Faste bruttoinvesteringer,13150 Tekstil- og læderindustri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,13150 Tekstil- og læderindustri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,16000 Træindustri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,16000 Træindustri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,17000 Papirindustri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,17000 Papirindustri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,18000 Trykkerier mv.,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,18000 Trykkerier mv.,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,19000 Olieraffinaderier mv.,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,19000 Olieraffinaderier mv.,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,20000 Kemisk industri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,20000 Kemisk industri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,21000 Medicinalindustri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,21000 Medicinalindustri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,22000 Plast- og gummiindustri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,22000 Plast- og gummiindustri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,23000 Glas- og betonindustri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,23000 Glas- og betonindustri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,24000 Fremst. af metal,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,24000 Fremst. af metal,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,25000 Metalvareindustri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,25000 Metalvareindustri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,26000 Elektronikindustri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,26000 Elektronikindustri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,27000 Fremst. af elektrisk udstyr,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,27000 Fremst. af elektrisk udstyr,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,28000 Maskinindustri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,28000 Maskinindustri,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,29000 Fremst. af motorkøretøjer og dele hertil,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,29000 Fremst. af motorkøretøjer og dele hertil,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,30000 Fremst. af skibe og andre transportmidler,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,30000 Fremst. af skibe og andre transportmidler,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,31320 Møbel- og anden industri,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,31320 Møbel- og anden industri,Løbende priser,1966,
