TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2005,49.638
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1970,166.189
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1970,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1970,13.586
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1970,
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1968,-90.14
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1983,-1216.083
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1983,-1140.627
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1983,181.209
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1983,178.875
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,1983,-615.058
"Andre produktionsskatter, netto",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1983,
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,1983,-288.031
"Andre produktionsskatter, netto","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,1983,
Moms,01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2004,11.51
Moms,01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2004,11.13
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2004,47.668
Moms,"10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2004,48.381
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Løbende priser,2005,991.832
"Produktskatter, netto ekskl. told og moms",01000 Landbrug og gartneri- (Anvendelse),Foregående års priser,2005,829.471
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Løbende priser,2005,1315.336
"Produktskatter, netto ekskl. told og moms","10120 Føde-, drikke- og tobaksvareindustri- (Anvendelse)",Foregående års priser,2005,963.961
