BEHOLD,BRANCHE,TID,Pt
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2023,1.1627720296824904
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",2024,1.1749459924173578
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1966,0.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1967,0.09883952716255567
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1968,0.1041810964444571
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1969,0.11290070835610905
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1970,0.12120188678296126
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1971,0.12919872962896956
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1972,0.13989795290705
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1973,0.15812554760295267
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1974,0.18417627333253317
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1975,0.19978983681750925
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1976,0.2151472235849304
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1977,0.23456998698783255
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1978,0.2528331683463864
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1979,0.27667780676130194
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1980,0.31163572197127926
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1981,0.34892459754172706
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1982,0.37962448272546795
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1983,0.4056115078792054
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1984,0.4227424991657858
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1985,0.43489402052188375
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1986,0.43739027777589773
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1987,0.45688251212927383
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1988,0.4820309908124206
"AN.11 Faste aktiver, nettobeholdning ultimo året",REST_ANVENDELSE Øvrige brancher,1989,0.5077014553662171
