SOCIO,BRANCHE,TID,INDHOLD
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1985,3514700
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1986,3625889
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1987,3568130
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1988,3517672
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1989,3475337
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1990,3434810
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1991,3395609
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1992,3413744
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1993,3357281
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1994,3342697
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1995,3401971
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1996,3431762
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1997,3539072
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1998,3632582
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,1999,3714509
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2000,3772557
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2001,3824171
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2002,3809762
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2003,3776588
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2004,3761275
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2005,3814540
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2006,3929729
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2007,3967488
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2008,4018058
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2009,3861885
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2010,3790107
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2011,3830075
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2012,3769454
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2013,3781533
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2014,3776795
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2015,3815080
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2016,3899913
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2017,3935591
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2018,3934302
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2019,3972380
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2020,3827066
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2021,4062261
Samlede præsterede timer (1000 timer),REST_ANVENDELSE Øvrige brancher,2022,4225398
