BEHOLD,BRANCHE,PRISENHED,TID,INDHOLD
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1983,28297.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1983,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1983,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1983,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1983,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1984,264710.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1984,116343.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1984,60351.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1984,29966.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1984,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1984,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1984,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1984,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1985,266226.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1985,119735.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1985,61829.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1985,31502.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1985,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1985,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1985,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1985,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1986,266885.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1986,120425.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1986,63940.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1986,32675.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1986,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1986,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1986,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1986,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1987,266110.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1987,122598.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1987,66178.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1987,34361.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1987,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1987,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1987,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1987,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1988,264303.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1988,127104.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1988,68823.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1988,37306.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1988,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1988,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1988,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1988,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1989,267224.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1989,137594.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1989,71028.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1989,40926.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1989,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1989,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1989,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1989,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1990,270771.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1990,145864.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1990,72698.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1990,43810.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1990,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1990,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1990,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1990,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1991,270977.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1991,150931.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1991,75678.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1991,47421.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1991,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1991,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1991,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1991,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1992,269956.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1992,156038.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1992,78426.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1992,50911.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1992,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1992,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1992,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1992,
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,"2020-priser, kædede værdier",1993,265165.0
"AN.11 Faste aktiver, nettobeholdning ultimo året",01000 Landbrug og gartneri,Løbende priser,1993,155484.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1993,79444.0
"AN.11 Faste aktiver, nettobeholdning ultimo året","10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1993,52246.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,"2020-priser, kædede værdier",1993,8517.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,Løbende priser,1993,5101.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri","2020-priser, kædede værdier",1993,6200.0
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",Løbende priser,1993,4373.0
