SOCIO,BRANCHE,TID,INDHOLD
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1976,112961
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1976,38569
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1976,19000
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1988,74059
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1988,41783
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1988,18121
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1993,205929
Samlede præsterede timer (1000 timer),100010 Slagterier,1993,38186
Samlede præsterede timer (1000 timer),100030 Mejerier,1993,14901
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1992,216746
Samlede præsterede timer (1000 timer),100010 Slagterier,1992,38505
Samlede præsterede timer (1000 timer),100030 Mejerier,1992,16370
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1992,65370
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1992,38156
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1992,16338
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2005,125588
Samlede præsterede timer (1000 timer),100010 Slagterier,2005,27478
Samlede præsterede timer (1000 timer),100030 Mejerier,2005,13891
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2020,85490
Samlede præsterede timer (1000 timer),100010 Slagterier,2020,20312
Samlede præsterede timer (1000 timer),100030 Mejerier,2020,10145
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1999,53470
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1999,34873
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1999,13109
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1999,152280
Samlede præsterede timer (1000 timer),100010 Slagterier,1999,35049
Samlede præsterede timer (1000 timer),100030 Mejerier,1999,13141
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1995,180889
Samlede præsterede timer (1000 timer),100010 Slagterier,1995,37880
Samlede præsterede timer (1000 timer),100030 Mejerier,1995,14446
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1995,58019
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1995,37612
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1995,14412
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2002,145637
Samlede præsterede timer (1000 timer),100010 Slagterier,2002,33902
Samlede præsterede timer (1000 timer),100030 Mejerier,2002,15128
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1997,162332
Samlede præsterede timer (1000 timer),100010 Slagterier,1997,35616
Samlede præsterede timer (1000 timer),100030 Mejerier,1997,13415
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1997,56880
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1997,35384
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1997,13378
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2020,51664
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2020,20230
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2020,10120
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1967,595974
Samlede præsterede timer (1000 timer),100010 Slagterier,1967,54768
Samlede præsterede timer (1000 timer),100030 Mejerier,1967,29463
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1967,163284
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1967,53302
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1967,27260
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,1998,160810
Samlede præsterede timer (1000 timer),100010 Slagterier,1998,35720
Samlede præsterede timer (1000 timer),100030 Mejerier,1998,13249
Samlede præsterede timer (1000 timer),010000 Landbrug og gartneri,2008,109397
Samlede præsterede timer (1000 timer),100010 Slagterier,2008,25017
Samlede præsterede timer (1000 timer),100030 Mejerier,2008,11828
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,2008,51626
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,2008,24887
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,2008,11797
Præsterede timer for lønmodtagere (1000 timer),010000 Landbrug og gartneri,1998,55777
Præsterede timer for lønmodtagere (1000 timer),100010 Slagterier,1998,35502
Præsterede timer for lønmodtagere (1000 timer),100030 Mejerier,1998,13210
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1966,3507938
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1967,3483879
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1968,3456581
Præsterede timer for lønmodtagere (1000 timer),REST_ANVENDELSE Øvrige brancher,1969,3480229
