TILGANG1,TILGANG2,ANVENDELSE,PRISENHED,TID,INDHOLD
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1980,2077.865
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Løbende priser,1980,4232.09
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Eksport - (Anvendelse),Foregående års priser,1980,4001.294
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Lagre - (Anvendelse),Løbende priser,1980,-868.419
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),Lagre - (Anvendelse),Foregående års priser,1980,-1198.002
Import inkl. told,100010 Slagterier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Løbende priser,1967,0.004
Import inkl. told,100010 Slagterier-(Tilgang),"Offentligt forbrug, i alt-(Anvendelse)",Foregående års priser,1967,0.008
Import inkl. told,100010 Slagterier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Løbende priser,1967,8.081
Import inkl. told,100010 Slagterier-(Tilgang),Husholdningernes forbrugsudgifter (Anvendelse),Foregående års priser,1967,8.641
Import inkl. told,100030 Mejerier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Løbende priser,1980,29.282
Import inkl. told,100030 Mejerier-(Tilgang),010000 Landbrug og gartneri- (Anvendelse),Foregående års priser,1980,26.694
Import inkl. told,100030 Mejerier-(Tilgang),100010 Slagterier- (Anvendelse),Løbende priser,1980,12.71
